Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Afghanistan,38,38,38,38,37,37,37,37,37,37,37
Algeria,84,84,84,83,83,83,83,83,83,,
Angola,27,27,26,26,26,26,,,,,
Armenia,94,93,93,92,91,91,90,89,89,88,88
Azerbaijan,83,83,83,83,83,83,83,83,83,,
Bangladesh,35,35,34,34,34,34,34,33,33,33,33
Barbados,,88,88,88,88,88,88,88,88,88,
Belize,90,89,87,86,84,82,81,79,78,78,78
Benin,11,11,10,10,9,8,8,7,6,6,5
Bhutan,,,,80,80,80,80,79,79,79,79
Bolivia (Plurinational State of),25,25,25,25,25,25,25,25,,,
Bosnia and Herzegovina,,97,97,97,97,97,97,97,97,97,
Burkina Faso,12,12,11,11,11,10,10,10,9,9,8
Burundi,6,6,6,6,6,6,6,6,6,6,6
Cambodia,66,66,66,66,66,66,66,65,65,65,
Cameroon,9,9,9,9,9,9,9,9,,,
Central African Republic,,,,17,17,17,17,17,16,16,16
Chad,6,6,6,6,6,6,6,,,,
Colombia,65,65,65,65,65,,,,,,
Comoros,,16,16,16,16,16,16,16,16,16,
Congo,48,48,48,48,48,47,47,,,,
Costa Rica,,,84,84,84,84,84,84,84,84,84
C̫te d'Ivoire,19,19,19,19,19,19,19,19,19,19,19
Cuba,85,85,85,85,85,85,85,85,,,
Democratic Republic of the Congo,4,4,4,4,4,4,4,4,4,4,4
Dominican Republic,55,55,55,55,55,54,54,54,,,
Ecuador,81,81,81,81,81,81,81,81,,,
Egypt,90,90,88,87,85,84,82,81,79,78,77
El Salvador,91,91,91,91,90,90,90,90,,,
Equatorial Guinea,,,25,25,25,25,24,24,24,24,24
Eswatini,24,24,24,24,24,24,24,24,24,24,24
Ethiopia,8,8,8,8,8,8,,,,,
Gambia,8,8,8,8,8,7,7,7,7,7,7
Ghana,41,41,41,41,41,,,,,,
Guatemala,77,77,77,77,76,76,76,,,,
Guinea,17,17,17,17,17,17,17,17,17,17,17
Guinea-Bissau,6,6,6,6,6,6,6,6,6,6,6
Guyana,77,77,77,77,77,77,77,77,,,
Haiti,23,23,23,24,24,24,24,25,25,24,24
Honduras,,84,84,84,84,84,84,84,84,84,
India,60,59,59,59,59,59,,,,,
Indonesia,64,64,64,64,64,64,64,63,63,63,63
Iraq,95,94,93,93,92,92,91,90,90,90,90
Jamaica,,,66,66,66,66,66,66,66,66,66
Kazakhstan,99,99,99,99,99,99,99,,,,
Kenya,25,25,25,25,24,,,,,,
Kyrgyzstan,89,89,89,89,89,89,89,89,89,89,89
Lao People's Democratic Republic,50,50,50,49,49,,,,,,
Lesotho,2,2,2,2,2,2,2,2,,,
Liberia,1,1,1,1,1,1,1,1,1,,
Madagascar,,,51,50,50,50,50,45,39,34,29
Malawi,9,9,10,10,11,11,12,12,12,13,13
Maldives,96,96,96,96,96,,,,,,
Mali,52,52,52,51,51,51,51,,,,
Marshall Islands,83,82,82,82,82,,,,,,
Mauritania,43,43,43,42,42,42,42,,,,
Mexico,88,88,88,88,88,88,88,,,,
Mongolia,71,71,71,71,71,71,71,71,71,70,70
Mozambique,,,12,12,12,12,12,12,12,12,12
Myanmar,79,79,79,79,79,79,,,,,
Namibia,45,44,44,43,43,43,42,42,42,,
Nepal,48,49,50,51,52,53,54,55,56,56,55
Niger,,,,,,,,9,9,9,9
Nigeria,42,42,42,41,41,41,41,,,,
Oman,97,97,97,97,97,,,,,,
Pakistan,60,60,59,59,59,59,59,59,59,,
Paraguay,80,80,80,79,79,79,,,,,
Peru,,,,,,,,,,,
Philippines,78,78,78,78,78,78,78,,,,
Republic of Moldova,,87,87,87,87,87,87,87,87,87,
Rwanda,5,4,4,4,4,4,3,3,3,3,3
Saint Lucia,,87,87,87,87,87,87,87,87,87,
Sao Tome and Principe,41,41,41,42,42,42,42,42,,,
Senegal,24,24,24,24,24,,,,,,
Serbia,,,,98,98,98,98,98,98,98,98
Sierra Leone,19,18,17,17,16,15,14,13,12,11,11
Solomon Islands,36,36,36,35,35,35,35,,,,
Somalia,10,10,10,10,10,10,10,,,,
South Africa,44,44,44,44,43,43,,,,,
Sudan,23,23,23,23,23,23,23,23,,,
Suriname,,,,68,68,68,68,68,68,68,68
Syrian Arab Republic,71,71,71,71,,,,,,,
Tajikistan,73,73,73,73,72,72,72,72,72,72,72
Thailand,84,84,84,84,84,84,,,,,
Timor-Leste,28,28,28,28,28,28,,,,,
Togo,10,10,10,10,10,10,10,10,10,10,10
Trinidad and Tobago,,,89,89,89,89,89,89,89,89,89
Tunisia,79,80,82,83,85,86,88,90,89,89,89
Turkmenistan,100,99,98,96,94,92,91,89,87,85,83
Uganda,21,20,19,18,17,16,14,13,12,11,10
United Republic of Tanzania,48,48,48,47,47,47,,,,,
Vanuatu,25,25,25,25,25,25,25,25,25,,
Viet Nam,86,86,86,86,86,85,85,85,85,85,85
Yemen,50,49,49,49,49,49,48,48,48,,
Zambia,14,14,14,14,14,13,13,13,,,
Zimbabwe,37,37,37,37,37,37,37,,,,
